iso,driver_code,pixel_count,area_ha,driver_label,dataset_name,dataset_version
CHL,4,65968,6596800.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,5,11055,1105500.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,6,2338,233800.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHL,7,22944,2294400.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,1,361970,36197000.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,2,56036,5603600.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,3,9174,917400.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,4,942456,94245600.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,5,58663,5866300.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,6,288889,28888900.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CHN,7,43533,4353300.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,1,223631,22363100.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,2,502,50200.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,3,9388,938800.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,4,823,82300.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,5,4,400.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,6,4963,496300.0,mining,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CIV,7,368,36800.0,infrastructure,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,1,80712,8071200.0,commodity_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,2,1872,187200.0,shifting_agriculture,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,3,68657,6865700.0,forestry,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,4,34249,3424900.0,wildfire,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
CMR,5,334,33400.0,urbanization,drivers_forest_loss_1km_2001_2024_v1_2,v1_2
