"iso","umd_tree_cover_extent_2000__ha","area__ha"
"MUS",71307.71067557248457688,191369.65786300883255305
"MWI",1521028.05245562682178844,11792701.56092718282758122
"MYS",29444768.36877290938181676,32957849.02358758234504410
"MYT",33577.05042572026132793,39165.25468717394049503
"NAM",4245.77725111273188119,82403983.00485014397662890
"NCL",1440327.53058266432668060,1882560.81367079413711490
"NER",2.32870724518934502,118366968.97949402937239644
"NGA",10048743.17417330748526921,90840970.40362125438198047
"NIC",7773867.49674781914557501,12817891.55608257103314794
"NLD",593055.317484452084964539,3768674.871473388973845085
"NOR",11739515.501807743045407722,32512056.446990626637111399
"NPL",5161037.37075230345700821,14766236.42319469579883104
"NRU",0.0,2215.92588529506841
"NZL",11255803.759062121991556121,26716624.815751254927484108
"OMN",0.35978744001953125,30914206.21170362590582455
"PAK",681137.68003906912883824,79238100.37677600713159558
"PAN",5734588.50039254697415583,7545263.91400247718960939
"PER",78063554.93387099885036593,129246451.70852491984201133
"PHL",18599368.15714236737858921,29585613.31735307969518710
"PLW",41239.49667305034708934,48408.86336560280676370
"PNG",42920262.31131175411931819,46361061.85242842088849579
"POL",10439497.598077318803678100,31239931.641214507997685374
"PRI",523695.53278997472738759,897035.81388686674342175
"PRK",5195565.625139289147036250,12270649.354916482296822429
"PRT",2302483.659830094002030474,8955524.896314741748574917
"PRY",24273208.12748264484578547,39928621.10612971248173334
"PSE",614.76689884244828825,622004.66857315874637516
"QAT",0.0,1158335.12793618030318459
"REU",170475.0271033466663836,251270.7470183980605104
"ROU",7915159.805175046848129143,23833779.153306761754811278
"RUS",761226509.353392037219738781,1689455497.119460094930789063
"RWA",497954.75889888643831249,2527906.88236513331222234
"SAU",6.80771239235243246,192301610.72951394516293156
"SDN",72712.56006032594455420,187213281.58574516330947823
"SEN",39568.06117629145445910,19689014.25389214976428459
"SGP",18783.00048170008985441,69701.00436240751269572
"SLB",2741593.30847915279230337,2853275.47964213590156215
"SLE",5617879.80719582720547513,7260137.93949606386462048
"SLV",988820.08823671419656024,2042273.15937638001663253
"SMR",829.484688559068942785,6121.18212984964705660
"SOM",87128.07478370825238592,63353088.40186650723302874
"SPM",10908.14394444616928112,45326.40899803339875933
"SRB",2730304.724255279720888836,7823151.009489936554851342
"SSD",11386556.72849196983540252,62809894.29226749177983306
"STP",14213.72856982699849704,100218.2185173067950262
"SUR",13949794.86916578093369524,14642538.02647783124496993
"SVK",2396834.505832394873253087,4909564.062440321658481404
"SVN",1291918.435025274626129487,1995674.208556990419230040
"SWE",27883711.639364621806319567,45004551.738927097398615567
"SWZ",469223.14512416630490932,1738319.10443377467363295
"SXM",1022.47272525397601910,3801.75370574557273292
"SYC",6209.47276018502646496,20266.56541199870221404
"SYR",105939.93222040467848609,18691924.00485682894496049
"TCA",10851.31188484817445644,99152.01584845812762653
"TCD",409749.67606694485057489,126995095.29420029860054838
"TGO",551477.42287324191491507,5690432.80857805749821479
"THA",19955448.40744835096078248,51393933.81446738465272348
"TJK",60256.949797587072359288,14211315.879005008021881225
"TKM",10178.877615182597006559,48959751.278794669798154121
"TLS",726234.90387254658154635,1491566.59981116855855643
"TTO",391844.13042389051463647,515898.83835645865429191
"TUN",223928.220708248920825544,15486985.285798043818213233
"TUR",10060811.772248751729754555,78070309.273857633196507862
"TUV",0.0,49.6740143655462652
"TWN",2342180.68494517063971566,3640652.53083594187463974
"TZA",26405606.71470383954315798,94052972.42924164382105369
"UGA",7764952.31418410105028161,24143897.79966388223559582
"UKR",11133282.258886587309696472,60136097.566393692755151936
"UMI",145.8981168277604736,541.6797628049992451
"URY",1693390.17359890212095219,17759936.56041675073756353
"USA",279375325.159093025670598431,947283215.441549009493082018
"UZB",106176.372858032610424391,44755381.815215503065981134
"VCT",29110.61416213894637969,39788.82170150256738927
"VEN",56519469.81247177057440842,91236016.01547961794610558
"VGB",7463.88088378359710484,16932.04449944621268702
"VIR",18997.98048839634266882,36213.84421440055518482
"VNM",16550834.58240477428754969,32926971.33441865060518289
"VUT",1181153.06526150111193839,1231888.02667809398067116
"XAD",911.24200527436854542,46734.47683699154871812
"XKO",369937.705205049245876498,1083659.459447073816943381
"YEM",126.1637233351827542,45217988.44451163498439346
"Z01",1073020.50567099979479379,10424221.61646526611505438
"Z02",0.4370693280989583,457698.1482901449
"Z03",6.98726162472439692,3094760.40810698708942017
"Z04",6.345145292675781,30760.568303083112818
"Z05",4.18120495425781328,25810.88157625805902257
"Z06",297536.194669767634875455,8180461.92910789297831734
"Z07",5136558.04234097424770069,6712877.53414840792167175
"Z08",0.0,141829.5218528802
"Z09",0.9247041416178385,108463.27288113699436606
"ZAF",5983121.26772566669262344,121971045.05695675896941812
"ZMB",24075024.23316793733619546,75117409.12228125818212960
"ZNC",24614.55105850472781480,662829.64684350674740701
"ZWE",1411914.97183902084577890,39004304.63129627998362507
